scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR,CDSR,AoI_violation_rate,PCO,RLBI
E,RILP-Greedy,1,0,1.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,0,1.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,0,1.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,0,1.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,0,1.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,0,1.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,0,1.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,0,1.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,0,1.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,0,2.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,0,2.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,0,2.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,0,2.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,0,2.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,0,2.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,0,2.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,0,2.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,0,2.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,0,2.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,0,2.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,0,2.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,0,2.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,0,2.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,0,2.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,0,2.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,0,2.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,0,2.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,0,2.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,0,2.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,0,2.5,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,0,2.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,0,2.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,0,2.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,0,2.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,0,2.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,0,2.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,0,2.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,0,2.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,0,2.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,0,2.5,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,0,2.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,0,2.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,0,2.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,0,2.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,0,2.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,0,2.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,0,2.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,0,2.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,0,2.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,0,3.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,0,3.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,0,3.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,0,3.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,0,3.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,0,3.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,0,3.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,0,3.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,0,3.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,0,3.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,0,3.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,0,3.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,0,3.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,0,3.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,0,3.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,0,3.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,0,3.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,0,3.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,0,3.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,0,3.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,0,3.5,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,0,3.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,0,3.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,0,3.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,0,3.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,0,3.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,0,3.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,0,3.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,0,3.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,0,3.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,0,3.5,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,0,3.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,0,3.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,0,3.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,0,3.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,0,3.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,0,3.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,0,3.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,0,3.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,0,3.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,0,4.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,0,4.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,0,4.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,0,4.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,0,4.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,0,4.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,0,4.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,0,4.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,0,4.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,0,4.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,0,4.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,0,4.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,0,4.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,0,4.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,0,4.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,0,4.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,0,4.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,0,4.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,0,4.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,0,4.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,0,4.5,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,0,4.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,0,4.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,0,4.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,0,4.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,0,4.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,0,4.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,0,4.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,0,4.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,0,4.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,0,4.5,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,0,4.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,0,4.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,0,4.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,0,4.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,0,4.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,0,4.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,0,4.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,0,4.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,0,4.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,0,5.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,0,5.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,0,5.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,0,5.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,0,5.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,0,5.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,0,5.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,0,5.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,0,5.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,0,5.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,0,5.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,0,5.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,0,5.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,0,5.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,0,5.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,0,5.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,0,5.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,0,5.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,0,5.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,0,5.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,10,0.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,10,0.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,10,0.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,10,0.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,10,0.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,10,0.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,10,0.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,10,0.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,10,0.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,10,0.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,10,0.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,10,0.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,10,0.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,10,0.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,10,0.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,10,0.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,10,0.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,10,0.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,10,0.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,10,0.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,10,0.5,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,10,0.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,10,0.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,10,0.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,10,0.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,10,0.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,10,0.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,10,0.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,10,0.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,10,0.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,10,0.5,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,10,0.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,10,0.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,10,0.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,10,0.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,10,0.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,10,0.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,10,0.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,10,0.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,10,0.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,10,1.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,10,1.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,10,1.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,10,1.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,10,1.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,10,1.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,10,1.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,10,1.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,10,1.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,10,1.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,10,1.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,10,1.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,10,1.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,10,1.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,10,1.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,10,1.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,10,1.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,10,1.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,10,1.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,10,1.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,10,1.5,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,10,1.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,10,1.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,10,1.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,10,1.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,10,1.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,10,1.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,10,1.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,10,1.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,10,1.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,10,1.5,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,10,1.5,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP-Greedy,1,10,1.5,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP-Greedy,1,10,1.5,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP-Greedy,1,10,1.5,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP-Greedy,1,10,1.5,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP-Greedy,1,10,1.5,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP-Greedy,1,10,1.5,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP-Greedy,1,10,1.5,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP-Greedy,1,10,1.5,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP,1,10,2.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP,1,10,2.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
E,RILP,1,10,2.0,5,44,0.195867,1.0,0.288067,0.257334,0.84487
E,RILP,1,10,2.0,5,45,0.237233,1.0,0.2233,0.254594,0.875702
E,RILP,1,10,2.0,5,46,0.193033,1.0,0.297867,0.313856,0.843945
E,RILP,1,10,2.0,5,47,0.207167,1.0,0.2682,0.255057,0.871802
E,RILP,1,10,2.0,5,48,0.2024,1.0,0.276367,0.287674,0.849904
E,RILP,1,10,2.0,5,49,0.234767,1.0,0.2257,0.212192,0.852836
E,RILP,1,10,2.0,5,50,0.2067,1.0,0.2677,0.279463,0.839448
E,RILP,1,10,2.0,5,51,0.238467,1.0,0.2247,0.251932,0.829344
E,RILP-Greedy,1,10,2.0,5,42,0.211267,1.0,0.261733,0.224855,0.857622
E,RILP-Greedy,1,10,2.0,5,43,0.2265,1.0,0.231433,0.236114,0.884106
