episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates
1,2000,5.0,-0.160474,-0.799137,-0.160474,,,,0,False,,5.679,5.965964078903198,112,112,112,5,5.7643,4.9798,782,779,ok,,9.2217,42.7,4.5862,0.1199,25.9358,439.6726,35.5823,23.6552,16.1715,0.022208,0.7306,0.321,792,95,1,0.284595,298623,1049291,12.6202,697,0,39427,84,0.000444,0.00448,112
2,4000,10.0,-0.186501,-0.334439,-0.186501,,,,0,False,,0.3937,0.5485920906066895,839,951,839,47,1.896,1.7932,5573,5569,ok,,4.3987,38.4,1.7418,0.0712,5.828,413.2041,8.7783,4.808,15.8454,0.145239,0.684,0.1792,5797,413,0,0.279292,618618,2214947,1.7787,5384,0,105117,189,0.003247,0.01568,839
3,6000,15.0,-0.209677,-0.282986,-0.209677,,,,0,False,,0.1169,0.05216282792389393,1154,2105,1154,105,1.4075,1.3496,7943,7935,ok,,2.4681,31.6,1.3918,0.0937,1.5387,271.2716,1.4228,1.5672,15.1102,0.180329,0.736,0.0994,8516,798,2,0.265014,868431,3276931,0.6902,7718,0,114656,223,0.004776,0.01456,1154
4,8000,20.0,-0.419072,-0.292421,-0.419072,,,,0,False,,0.0054,0.012559667229652405,3651,5756,3651,287,0.6439,0.6978,24877,24871,ok,,1.0143,24.4,0.7891,0.1771,0.4972,171.076,0.5222,0.4852,11.429,0.221295,0.7331,0.0704,29754,5268,46,0.252254,1076752,4268518,0.2454,24486,0,197863,345,0.016683,0.04592,3651
5,10000,25.0,-0.12581,-0.244297,-0.12581,,,,0,False,,0.0054,0.006168643245473504,1952,7708,1952,385,1.8814,1.9418,13883,13873,ok,,1.5155,51.0,2.0654,0.2806,0.544,197.7537,0.4893,0.5929,10.2582,0.089477,0.797,0.0823,18725,5254,85,0.256937,1385448,5392164,0.685,13471,0,282749,327,0.010502,0.03472,1952
6,12000,30.0,-0.082379,-0.224691,-0.082379,,,,0,False,,0.0093,0.0061196014285087585,1427,9135,1427,456,2.6981,2.7275,10343,10337,ok,,1.9266,48.3,2.872,0.2617,0.5951,50.0443,0.3333,0.8621,10.3045,0.065016,0.905,0.5874,13441,3517,51,0.278104,1674013,6019369,1.1913,9924,0,291726,368,0.007537,0.01904,1427
7,14000,35.0,-0.07057,-0.225823,-0.07057,,,,0,False,,0.0242,0.007991942577064037,1384,10519,1384,525,3.2137,3.2,9954,9947,ok,,2.1585,28.3,3.3457,0.2504,0.7295,60.8432,0.5023,0.8985,10.4127,0.063428,0.9628,0.6584,12691,3178,40,0.296466,1862642,6282808,1.5311,9513,0,327633,401,0.007111,0.02464,1384
8,16000,5.0,-0.072526,-0.154678,-0.072526,,,,0,False,,0.0241,0.008279655128717422,335,10854,335,542,2.1444,2.1327,2054,2054,ok,,1.4719,8.5,2.237,0.1893,0.3871,28.5569,0.3548,0.3946,10.2731,0.011588,0.9541,0.6386,2414,457,3,0.286063,294748,1030360,0.8983,1957,0,45696,94,0.001355,0.00896,335
9,18000,10.0,-0.06243,-0.164252,-0.06243,,,,0,False,,0.0066,0.006562374532222748,568,11422,568,571,2.7855,2.631,3726,3723,ok,,1.7772,11.4,2.7044,0.1601,0.3918,41.0069,0.3119,0.4149,10.4413,0.02123,0.9635,0.6485,4217,675,2,0.27077,571862,2111981,0.9973,3542,0,101360,182,0.002363,0.00784,568
10,20000,15.0,-0.054682,-0.170382,-0.054682,-0.053763,-0.178314,20.0,6167,True,-0.053763,0.0054,0.005584231577813625,671,12093,671,604,3.2977,3.1159,4704,4697,ok,,2.0421,13.0,3.1925,0.1443,0.6036,36.5575,0.3591,0.703,10.4454,0.026057,0.972,0.701,5192,749,5,0.261891,840404,3208978,1.584,4443,0,150632,256,0.00291,0.01008,671
11,22000,20.0,-0.052691,-0.186623,-0.052691,,,,0,False,-0.053763,0.0186,0.0058080581948161125,823,12916,823,645,4.0889,3.5418,5667,5664,ok,,2.6258,20.2,3.4975,0.1609,0.7335,59.4519,0.3535,0.9169,10.5111,0.032621,0.9307,0.6167,6384,1027,9,0.258783,1081816,4180396,1.657,5357,0,205779,300,0.003576,0.01456,823
