scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,AoI_violation_rate
A,Youn2026,1,0,1.0,5,46,0.034011
A,Youn2026,1,0,1.0,5,47,0.034263
A,Youn2026,1,0,1.0,5,48,0.034171
A,Youn2026,1,0,1.0,5,49,0.03437
A,Youn2026,1,0,1.0,5,50,0.034107
A,Youn2026,1,0,1.0,5,51,0.034176
A,V2I-Base,1,0,1.0,5,42,0.033958
A,V2I-Base,1,0,1.0,5,43,0.034155
A,V2I-Base,1,0,1.0,5,44,0.034217
A,V2I-Base,1,0,1.0,5,45,0.03404
A,V2I-Base,1,0,1.0,5,46,0.034011
A,V2I-Base,1,0,1.0,5,47,0.034263
A,V2I-Base,1,0,1.0,5,48,0.034171
A,V2I-Base,1,0,1.0,5,49,0.03437
A,V2I-Base,1,0,1.0,5,50,0.034107
A,V2I-Base,1,0,1.0,5,51,0.034176
A,V2V-Base,1,0,1.0,5,42,7e-06
A,V2V-Base,1,0,1.0,5,43,6e-06
A,V2V-Base,1,0,1.0,5,44,6e-06
A,V2V-Base,1,0,1.0,5,45,6e-06
A,V2V-Base,1,0,1.0,5,46,7e-06
A,V2V-Base,1,0,1.0,5,47,5e-06
A,V2V-Base,1,0,1.0,5,48,7e-06
A,V2V-Base,1,0,1.0,5,49,1.3e-05
A,V2V-Base,1,0,1.0,5,50,7e-06
A,V2V-Base,1,0,1.0,5,51,3e-06
A,Random-K,1,0,1.0,5,42,0.000104
A,Random-K,1,0,1.0,5,43,0.000119
A,Random-K,1,0,1.0,5,44,0.000153
A,Random-K,1,0,1.0,5,45,0.000109
A,Random-K,1,0,1.0,5,46,0.000125
A,Random-K,1,0,1.0,5,47,8.9e-05
A,Random-K,1,0,1.0,5,48,0.000142
A,Random-K,1,0,1.0,5,49,0.000159
A,Random-K,1,0,1.0,5,50,0.000126
A,Random-K,1,0,1.0,5,51,0.000102
A,RILP,1,0,2.0,5,42,0.033958
A,RILP,1,0,2.0,5,43,0.034155
A,RILP,1,0,2.0,5,44,0.034217
A,RILP,1,0,2.0,5,45,0.03404
A,RILP,1,0,2.0,5,46,0.034011
A,RILP,1,0,2.0,5,47,0.034263
A,RILP,1,0,2.0,5,48,0.034171
A,RILP,1,0,2.0,5,49,0.03437
A,RILP,1,0,2.0,5,50,0.034107
A,RILP,1,0,2.0,5,51,0.034176
A,RILP-Greedy,1,0,2.0,5,42,0.033958
A,RILP-Greedy,1,0,2.0,5,43,0.034155
A,RILP-Greedy,1,0,2.0,5,44,0.034217
A,RILP-Greedy,1,0,2.0,5,45,0.03404
A,RILP-Greedy,1,0,2.0,5,46,0.034011
A,RILP-Greedy,1,0,2.0,5,47,0.034263
A,RILP-Greedy,1,0,2.0,5,48,0.034171
A,RILP-Greedy,1,0,2.0,5,49,0.03437
A,RILP-Greedy,1,0,2.0,5,50,0.034107
A,RILP-Greedy,1,0,2.0,5,51,0.034176
A,Nam2023b,1,0,2.0,5,42,0.197585
A,Nam2023b,1,0,2.0,5,43,0.197403
A,Nam2023b,1,0,2.0,5,44,0.197894
A,Nam2023b,1,0,2.0,5,45,0.197756
A,Nam2023b,1,0,2.0,5,46,0.19751
A,Nam2023b,1,0,2.0,5,47,0.197674
A,Nam2023b,1,0,2.0,5,48,0.197462
A,Nam2023b,1,0,2.0,5,49,0.198095
A,Nam2023b,1,0,2.0,5,50,0.197661
A,Nam2023b,1,0,2.0,5,51,0.197665
A,Nam2025,1,0,2.0,5,42,0.033958
A,Nam2025,1,0,2.0,5,43,0.034155
A,Nam2025,1,0,2.0,5,44,0.034217
A,Nam2025,1,0,2.0,5,45,0.03404
A,Nam2025,1,0,2.0,5,46,0.034011
A,Nam2025,1,0,2.0,5,47,0.034263
A,Nam2025,1,0,2.0,5,48,0.034171
A,Nam2025,1,0,2.0,5,49,0.03437
A,Nam2025,1,0,2.0,5,50,0.034107
A,Nam2025,1,0,2.0,5,51,0.034176
A,Youn2026,1,0,2.0,5,42,0.033958
A,Youn2026,1,0,2.0,5,43,0.034155
A,Youn2026,1,0,2.0,5,44,0.034217
A,Youn2026,1,0,2.0,5,45,0.03404
A,Youn2026,1,0,2.0,5,46,0.034011
A,Youn2026,1,0,2.0,5,47,0.034263
A,Youn2026,1,0,2.0,5,48,0.034171
A,Youn2026,1,0,2.0,5,49,0.03437
A,Youn2026,1,0,2.0,5,50,0.034107
A,Youn2026,1,0,2.0,5,51,0.034176
A,V2I-Base,1,0,2.0,5,42,0.033958
A,V2I-Base,1,0,2.0,5,43,0.034155
A,V2I-Base,1,0,2.0,5,44,0.034217
A,V2I-Base,1,0,2.0,5,45,0.03404
A,V2I-Base,1,0,2.0,5,46,0.034011
A,V2I-Base,1,0,2.0,5,47,0.034263
A,V2I-Base,1,0,2.0,5,48,0.034171
A,V2I-Base,1,0,2.0,5,49,0.03437
A,V2I-Base,1,0,2.0,5,50,0.034107
A,V2I-Base,1,0,2.0,5,51,0.034176
A,V2V-Base,1,0,2.0,5,42,7e-06
A,V2V-Base,1,0,2.0,5,43,6e-06
A,V2V-Base,1,0,2.0,5,44,6e-06
A,V2V-Base,1,0,2.0,5,45,6e-06
A,V2V-Base,1,0,2.0,5,46,7e-06
A,V2V-Base,1,0,2.0,5,47,5e-06
A,V2V-Base,1,0,2.0,5,48,7e-06
A,V2V-Base,1,0,2.0,5,49,1.3e-05
A,V2V-Base,1,0,2.0,5,50,7e-06
A,V2V-Base,1,0,2.0,5,51,3e-06
A,Random-K,1,0,2.0,5,42,0.000104
A,Random-K,1,0,2.0,5,43,0.000136
A,Random-K,1,0,2.0,5,44,7.2e-05
A,Random-K,1,0,2.0,5,45,9.9e-05
A,Random-K,1,0,2.0,5,46,0.000103
A,Random-K,1,0,2.0,5,47,9.8e-05
A,Random-K,1,0,2.0,5,48,0.00011
A,Random-K,1,0,2.0,5,49,9.9e-05
A,Random-K,1,0,2.0,5,50,9.7e-05
A,Random-K,1,0,2.0,5,51,0.000104
A,RILP,1,0,3.0,5,42,0.034206
A,RILP,1,0,3.0,5,43,0.034234
A,RILP,1,0,3.0,5,44,0.034102
A,RILP,1,0,3.0,5,45,0.03425
A,RILP,1,0,3.0,5,46,0.034141
A,RILP,1,0,3.0,5,47,0.034129
A,RILP,1,0,3.0,5,48,0.03415
A,RILP,1,0,3.0,5,49,0.034107
A,RILP,1,0,3.0,5,50,0.034091
A,RILP,1,0,3.0,5,51,0.034248
A,RILP-Greedy,1,0,3.0,5,42,0.034206
A,RILP-Greedy,1,0,3.0,5,43,0.034234
A,RILP-Greedy,1,0,3.0,5,44,0.034102
A,RILP-Greedy,1,0,3.0,5,45,0.03425
A,RILP-Greedy,1,0,3.0,5,46,0.034141
A,RILP-Greedy,1,0,3.0,5,47,0.034129
A,RILP-Greedy,1,0,3.0,5,48,0.03415
A,RILP-Greedy,1,0,3.0,5,49,0.034107
A,RILP-Greedy,1,0,3.0,5,50,0.034091
A,RILP-Greedy,1,0,3.0,5,51,0.034248
A,Nam2023b,1,0,3.0,5,42,0.197482
A,Nam2023b,1,0,3.0,5,43,0.19731
A,Nam2023b,1,0,3.0,5,44,0.197643
A,Nam2023b,1,0,3.0,5,45,0.197562
A,Nam2023b,1,0,3.0,5,46,0.197967
A,Nam2023b,1,0,3.0,5,47,0.197733
A,Nam2023b,1,0,3.0,5,48,0.198092
A,Nam2023b,1,0,3.0,5,49,0.197591
A,Nam2023b,1,0,3.0,5,50,0.1977
A,Nam2023b,1,0,3.0,5,51,0.198068
A,Nam2025,1,0,3.0,5,42,0.034206
A,Nam2025,1,0,3.0,5,43,0.034234
A,Nam2025,1,0,3.0,5,44,0.034102
A,Nam2025,1,0,3.0,5,45,0.03425
A,Nam2025,1,0,3.0,5,46,0.034141
A,Nam2025,1,0,3.0,5,47,0.034129
A,Nam2025,1,0,3.0,5,48,0.03415
A,Nam2025,1,0,3.0,5,49,0.034107
A,Nam2025,1,0,3.0,5,50,0.034091
A,Nam2025,1,0,3.0,5,51,0.034248
A,Youn2026,1,0,3.0,5,42,0.034206
A,Youn2026,1,0,3.0,5,43,0.034234
A,Youn2026,1,0,3.0,5,44,0.034102
A,Youn2026,1,0,3.0,5,45,0.03425
A,Youn2026,1,0,3.0,5,46,0.034141
A,Youn2026,1,0,3.0,5,47,0.034129
A,Youn2026,1,0,3.0,5,48,0.03415
A,Youn2026,1,0,3.0,5,49,0.034107
A,Youn2026,1,0,3.0,5,50,0.034091
A,Youn2026,1,0,3.0,5,51,0.034248
A,V2I-Base,1,0,3.0,5,42,0.034206
A,V2I-Base,1,0,3.0,5,43,0.034234
A,V2I-Base,1,0,3.0,5,44,0.034102
A,V2I-Base,1,0,3.0,5,45,0.03425
A,V2I-Base,1,0,3.0,5,46,0.034141
A,V2I-Base,1,0,3.0,5,47,0.034129
A,V2I-Base,1,0,3.0,5,48,0.03415
A,V2I-Base,1,0,3.0,5,49,0.034107
A,V2I-Base,1,0,3.0,5,50,0.034091
A,V2I-Base,1,0,3.0,5,51,0.034248
A,V2V-Base,1,0,3.0,5,42,4e-06
A,V2V-Base,1,0,3.0,5,43,5e-06
A,V2V-Base,1,0,3.0,5,44,4e-06
A,V2V-Base,1,0,3.0,5,45,5e-06
A,V2V-Base,1,0,3.0,5,46,5e-06
A,V2V-Base,1,0,3.0,5,47,4e-06
A,V2V-Base,1,0,3.0,5,48,6e-06
A,V2V-Base,1,0,3.0,5,49,7e-06
A,V2V-Base,1,0,3.0,5,50,5e-06
A,V2V-Base,1,0,3.0,5,51,4e-06
A,Random-K,1,0,3.0,5,42,0.00011
A,Random-K,1,0,3.0,5,43,0.000136
A,Random-K,1,0,3.0,5,44,7.2e-05
A,Random-K,1,0,3.0,5,45,9.9e-05
A,Random-K,1,0,3.0,5,46,0.000103
A,Random-K,1,0,3.0,5,47,9.8e-05
A,Random-K,1,0,3.0,5,48,0.00011
A,Random-K,1,0,3.0,5,49,9.9e-05
A,Random-K,1,0,3.0,5,50,9.7e-05
A,Random-K,1,0,3.0,5,51,0.000104
A,RILP,1,10,0.0,5,42,0.034206
A,RILP,1,10,0.0,5,43,0.034234
A,RILP,1,10,0.0,5,44,0.034102
A,RILP,1,10,0.0,5,45,0.03425
A,RILP,1,10,0.0,5,46,0.034141
A,RILP,1,10,0.0,5,47,0.034129
A,RILP,1,10,0.0,5,48,0.03415
A,RILP,1,10,0.0,5,49,0.034107
A,RILP,1,10,0.0,5,50,0.034091
A,RILP,1,10,0.0,5,51,0.034248
A,RILP-Greedy,1,10,0.0,5,42,0.034206
A,RILP-Greedy,1,10,0.0,5,43,0.034234
A,RILP-Greedy,1,10,0.0,5,44,0.034102
A,RILP-Greedy,1,10,0.0,5,45,0.03425
A,RILP-Greedy,1,10,0.0,5,46,0.034141
A,RILP-Greedy,1,10,0.0,5,47,0.034129
A,RILP-Greedy,1,10,0.0,5,48,0.03415
A,RILP-Greedy,1,10,0.0,5,49,0.034107
A,RILP-Greedy,1,10,0.0,5,50,0.034091
A,RILP-Greedy,1,10,0.0,5,51,0.034248
A,Nam2023b,1,10,0.0,5,42,0.197482
A,Nam2023b,1,10,0.0,5,43,0.19731
A,Nam2023b,1,10,0.0,5,44,0.197643
A,Nam2023b,1,10,0.0,5,45,0.197562
A,Nam2023b,1,10,0.0,5,46,0.197967
A,Nam2023b,1,10,0.0,5,47,0.197733
A,Nam2023b,1,10,0.0,5,48,0.198092
A,Nam2023b,1,10,0.0,5,49,0.197591
A,Nam2023b,1,10,0.0,5,50,0.1977
A,Nam2023b,1,10,0.0,5,51,0.198068
A,Nam2025,1,10,0.0,5,42,0.034206
A,Nam2025,1,10,0.0,5,43,0.034234
A,Nam2025,1,10,0.0,5,44,0.034102
A,Nam2025,1,10,0.0,5,45,0.03425
A,Nam2025,1,10,0.0,5,46,0.034141
A,Nam2025,1,10,0.0,5,47,0.034129
A,Nam2025,1,10,0.0,5,48,0.03415
A,Nam2025,1,10,0.0,5,49,0.034107
A,Nam2025,1,10,0.0,5,50,0.034091
A,Nam2025,1,10,0.0,5,51,0.034248
A,Youn2026,1,10,0.0,5,42,0.034206
A,Youn2026,1,10,0.0,5,43,0.034234
A,Youn2026,1,10,0.0,5,44,0.034102
A,Youn2026,1,10,0.0,5,45,0.03425
A,Youn2026,1,10,0.0,5,46,0.034141
A,Youn2026,1,10,0.0,5,47,0.034129
A,Youn2026,1,10,0.0,5,48,0.03415
A,Youn2026,1,10,0.0,5,49,0.034107
A,Youn2026,1,10,0.0,5,50,0.034091
A,Youn2026,1,10,0.0,5,51,0.034248
A,V2I-Base,1,10,0.0,5,42,0.034206
A,V2I-Base,1,10,0.0,5,43,0.034234
A,V2I-Base,1,10,0.0,5,44,0.034102
A,V2I-Base,1,10,0.0,5,45,0.03425
A,V2I-Base,1,10,0.0,5,46,0.034141
A,V2I-Base,1,10,0.0,5,47,0.034129
A,V2I-Base,1,10,0.0,5,48,0.03415
A,V2I-Base,1,10,0.0,5,49,0.034107
A,V2I-Base,1,10,0.0,5,50,0.034091
A,V2I-Base,1,10,0.0,5,51,0.034248
