scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CDSR
A,Youn2026,1,0,1.0,5,46,0.004486
A,Youn2026,1,0,1.0,5,47,0.004464
A,Youn2026,1,0,1.0,5,48,0.00456
A,Youn2026,1,0,1.0,5,49,0.004437
A,Youn2026,1,0,1.0,5,50,0.004498
A,Youn2026,1,0,1.0,5,51,0.004469
A,V2I-Base,1,0,1.0,5,42,0.004555
A,V2I-Base,1,0,1.0,5,43,0.004518
A,V2I-Base,1,0,1.0,5,44,0.004446
A,V2I-Base,1,0,1.0,5,45,0.004514
A,V2I-Base,1,0,1.0,5,46,0.004486
A,V2I-Base,1,0,1.0,5,47,0.004464
A,V2I-Base,1,0,1.0,5,48,0.00456
A,V2I-Base,1,0,1.0,5,49,0.004437
A,V2I-Base,1,0,1.0,5,50,0.004498
A,V2I-Base,1,0,1.0,5,51,0.004469
A,V2V-Base,1,0,1.0,5,42,0.69474
A,V2V-Base,1,0,1.0,5,43,0.694713
A,V2V-Base,1,0,1.0,5,44,0.694572
A,V2V-Base,1,0,1.0,5,45,0.694663
A,V2V-Base,1,0,1.0,5,46,0.694362
A,V2V-Base,1,0,1.0,5,47,0.694848
A,V2V-Base,1,0,1.0,5,48,0.694623
A,V2V-Base,1,0,1.0,5,49,0.694592
A,V2V-Base,1,0,1.0,5,50,0.694809
A,V2V-Base,1,0,1.0,5,51,0.694764
A,Random-K,1,0,1.0,5,42,0.900443
A,Random-K,1,0,1.0,5,43,0.900442
A,Random-K,1,0,1.0,5,44,0.900429
A,Random-K,1,0,1.0,5,45,0.900368
A,Random-K,1,0,1.0,5,46,0.900243
A,Random-K,1,0,1.0,5,47,0.900208
A,Random-K,1,0,1.0,5,48,0.900271
A,Random-K,1,0,1.0,5,49,0.900349
A,Random-K,1,0,1.0,5,50,0.900323
A,Random-K,1,0,1.0,5,51,0.900313
A,RILP,1,0,2.0,5,42,0.004555
A,RILP,1,0,2.0,5,43,0.004518
A,RILP,1,0,2.0,5,44,0.004446
A,RILP,1,0,2.0,5,45,0.004514
A,RILP,1,0,2.0,5,46,0.004486
A,RILP,1,0,2.0,5,47,0.004464
A,RILP,1,0,2.0,5,48,0.00456
A,RILP,1,0,2.0,5,49,0.004437
A,RILP,1,0,2.0,5,50,0.004498
A,RILP,1,0,2.0,5,51,0.004469
A,RILP-Greedy,1,0,2.0,5,42,0.004555
A,RILP-Greedy,1,0,2.0,5,43,0.004518
A,RILP-Greedy,1,0,2.0,5,44,0.004446
A,RILP-Greedy,1,0,2.0,5,45,0.004514
A,RILP-Greedy,1,0,2.0,5,46,0.004486
A,RILP-Greedy,1,0,2.0,5,47,0.004464
A,RILP-Greedy,1,0,2.0,5,48,0.00456
A,RILP-Greedy,1,0,2.0,5,49,0.004437
A,RILP-Greedy,1,0,2.0,5,50,0.004498
A,RILP-Greedy,1,0,2.0,5,51,0.004469
A,Nam2023b,1,0,2.0,5,42,0.002988
A,Nam2023b,1,0,2.0,5,43,0.003027
A,Nam2023b,1,0,2.0,5,44,0.002961
A,Nam2023b,1,0,2.0,5,45,0.003007
A,Nam2023b,1,0,2.0,5,46,0.002978
A,Nam2023b,1,0,2.0,5,47,0.002977
A,Nam2023b,1,0,2.0,5,48,0.003036
A,Nam2023b,1,0,2.0,5,49,0.002932
A,Nam2023b,1,0,2.0,5,50,0.002973
A,Nam2023b,1,0,2.0,5,51,0.002958
A,Nam2025,1,0,2.0,5,42,0.004555
A,Nam2025,1,0,2.0,5,43,0.004518
A,Nam2025,1,0,2.0,5,44,0.004446
A,Nam2025,1,0,2.0,5,45,0.004514
A,Nam2025,1,0,2.0,5,46,0.004486
A,Nam2025,1,0,2.0,5,47,0.004464
A,Nam2025,1,0,2.0,5,48,0.00456
A,Nam2025,1,0,2.0,5,49,0.004437
A,Nam2025,1,0,2.0,5,50,0.004498
A,Nam2025,1,0,2.0,5,51,0.004469
A,Youn2026,1,0,2.0,5,42,0.004555
A,Youn2026,1,0,2.0,5,43,0.004518
A,Youn2026,1,0,2.0,5,44,0.004446
A,Youn2026,1,0,2.0,5,45,0.004514
