scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,RLBI
A,Youn2026,1,0,1.0,5,46,0.989784
A,Youn2026,1,0,1.0,5,47,0.989814
A,Youn2026,1,0,1.0,5,48,0.989625
A,Youn2026,1,0,1.0,5,49,0.989817
A,Youn2026,1,0,1.0,5,50,0.98975
A,Youn2026,1,0,1.0,5,51,0.989791
A,V2I-Base,1,0,1.0,5,42,0.989703
A,V2I-Base,1,0,1.0,5,43,0.989754
A,V2I-Base,1,0,1.0,5,44,0.989828
A,V2I-Base,1,0,1.0,5,45,0.989789
A,V2I-Base,1,0,1.0,5,46,0.989784
A,V2I-Base,1,0,1.0,5,47,0.989814
A,V2I-Base,1,0,1.0,5,48,0.989625
A,V2I-Base,1,0,1.0,5,49,0.989817
A,V2I-Base,1,0,1.0,5,50,0.98975
A,V2I-Base,1,0,1.0,5,51,0.989791
A,V2V-Base,1,0,1.0,5,42,0.989703
A,V2V-Base,1,0,1.0,5,43,0.989754
A,V2V-Base,1,0,1.0,5,44,0.989828
A,V2V-Base,1,0,1.0,5,45,0.989789
A,V2V-Base,1,0,1.0,5,46,0.989784
A,V2V-Base,1,0,1.0,5,47,0.989814
A,V2V-Base,1,0,1.0,5,48,0.989625
A,V2V-Base,1,0,1.0,5,49,0.989817
A,V2V-Base,1,0,1.0,5,50,0.98975
A,V2V-Base,1,0,1.0,5,51,0.989791
A,Random-K,1,0,1.0,5,42,0.989703
A,Random-K,1,0,1.0,5,43,0.989754
A,Random-K,1,0,1.0,5,44,0.989828
A,Random-K,1,0,1.0,5,45,0.989789
A,Random-K,1,0,1.0,5,46,0.989784
A,Random-K,1,0,1.0,5,47,0.989814
A,Random-K,1,0,1.0,5,48,0.989625
A,Random-K,1,0,1.0,5,49,0.989817
A,Random-K,1,0,1.0,5,50,0.98975
A,Random-K,1,0,1.0,5,51,0.989791
A,RILP,1,0,2.0,5,42,0.989703
A,RILP,1,0,2.0,5,43,0.989754
A,RILP,1,0,2.0,5,44,0.989828
A,RILP,1,0,2.0,5,45,0.989789
A,RILP,1,0,2.0,5,46,0.989784
A,RILP,1,0,2.0,5,47,0.989814
A,RILP,1,0,2.0,5,48,0.989625
A,RILP,1,0,2.0,5,49,0.989817
A,RILP,1,0,2.0,5,50,0.98975
A,RILP,1,0,2.0,5,51,0.989791
A,RILP-Greedy,1,0,2.0,5,42,0.989703
A,RILP-Greedy,1,0,2.0,5,43,0.989754
A,RILP-Greedy,1,0,2.0,5,44,0.989828
A,RILP-Greedy,1,0,2.0,5,45,0.989789
A,RILP-Greedy,1,0,2.0,5,46,0.989784
A,RILP-Greedy,1,0,2.0,5,47,0.989814
A,RILP-Greedy,1,0,2.0,5,48,0.989625
A,RILP-Greedy,1,0,2.0,5,49,0.989817
A,RILP-Greedy,1,0,2.0,5,50,0.98975
A,RILP-Greedy,1,0,2.0,5,51,0.989791
A,Nam2023b,1,0,2.0,5,42,0.989703
A,Nam2023b,1,0,2.0,5,43,0.989754
A,Nam2023b,1,0,2.0,5,44,0.989828
A,Nam2023b,1,0,2.0,5,45,0.989789
A,Nam2023b,1,0,2.0,5,46,0.989784
A,Nam2023b,1,0,2.0,5,47,0.989814
A,Nam2023b,1,0,2.0,5,48,0.989625
